Empresa,Capital,Tamanho,Patrimônio Líquido,Ativo Circulante,Passivo Circulante,Ativo Permanente,Ativo Realizável a Longo Prazo,Passivo Exigível a Longo Prazo,Valor Líquido do Patrimônio
50,Capital Aberto,Grande,40650,18550,65550,79300,17514,52812,-0.1173
51,Capital Aberto,Média,81300,33125,36225,79300,5838,36186,-0.0533
52,Capital Fechado,Média,67750,33125,62100,137250,40032,25428,0.0057
53,Capital Fechado,Média,79945,45050,74175,134200,34194,44010,0.0219
54,Capital Fechado,Pequena,66395,34450,43125,140300,20016,27384,0.0192
55,Capital Aberto,Pequena,39295,27825,27600,85400,6672,37164,0.0098
56,Capital Aberto,Média,94850,47700,48300,117425,21684,28362,0.0004
57,Capital Fechado,Média,93495,53000,79350,146400,36696,47922,-0.0116
58,Capital Aberto,Grande,74525,39750,69000,117425,20850,52812,0.0084
59,Capital Aberto,Grande,73170,33125,53475,67100,15012,42054,0.0301
60,Capital Fechado,Média,63685,29150,51750,132675,37530,22494,0.0083
61,Capital Aberto,Grande,60975,41075,44850,57950,15846,30318,0.0198
62,Capital Aberto,Grande,78590,30475,62100,68625,15846,49878,0.0343
63,Capital Aberto,Grande,74525,35775,43125,112850,9174,40098,0.0462
64,Capital Aberto,Média,66395,34450,58650,91500,31692,29340,0.0076
65,Capital Fechado,Pequena,63685,42400,27600,152500,16680,10758,0.0146
66,Capital Aberto,Média,60975,30475,44850,103700,11676,36186,0.0202
67,Capital Aberto,Grande,84010,51675,56925,111325,20850,41076,0.0334
68,Capital Fechado,Média,71815,33125,51750,108275,37530,15648,0.0074
69,Capital Aberto,Grande,50135,25175,60375,73200,14178,51834,0.0119
70,Capital Fechado,Média,70460,30475,51750,138775,30858,22494,0.0161
71,Capital Fechado,Média,84010,38425,77625,128100,45036,35208,0.0238
72,Capital Aberto,Grande,42005,21200,69000,80825,18348,54768,0.0041
73,Capital Aberto,Grande,65040,25175,50025,74725,18348,35208,0.0101
74,Capital Aberto,Grande,60975,35775,56925,111325,10842,50856,0.0156
75,Capital Fechado,Pequena,89430,35775,41400,125050,16680,29340,0.0224
76,Capital Aberto,Média,66395,35775,55200,129625,20016,41076,0.0029
77,Capital Aberto,Média,82655,34450,37950,80825,6672,37164,0.0093
78,Capital Aberto,Grande,44715,19875,50025,79300,21684,32274,0.0262
79,Capital Fechado,Pequena,60975,41075,25875,150975,15846,9780,0.0362
80,Capital Aberto,Grande,62330,27825,53475,103700,13344,44010,0.0062
81,Capital Aberto,Grande,51490,27825,62100,74725,15012,53790,0.0164
82,Capital Aberto,Média,111110,58300,69000,96075,38364,33252,0.0241
83,Capital Fechado,Pequena,86720,50350,39675,125050,23352,15648,0.0309
84,Capital Aberto,Pequena,67750,33125,51750,112850,30858,22494,-0.0008
85,Capital Fechado,Média,81300,37100,48300,103700,25020,25428,0.0009
86,Capital Fechado,Pequena,56910,29150,48300,137250,25854,24450,-0.0019
87,Capital Fechado,Média,79945,35775,46575,102175,24186,23472,0.0336
88,Capital Aberto,Pequena,65040,30475,48300,109800,29190,20538,0.0153
89,Capital Fechado,Pequena,82655,33125,34500,122000,10008,28362,-0.0591
90,Capital Aberto,Grande,85365,53000,58650,112850,20850,42054,-0.0695
91,Capital Aberto,Média,96205,50350,51750,120475,23352,29340,-0.0613
92,Capital Aberto,Média,56910,18550,56925,88450,14178,46944,9
93,Capital Aberto,Média,105690,53000,62100,89975,35028,30318,0.0321
94,Capital Fechado,Pequena,66395,33125,37950,125050,22518,18582,0.0486
95,Capital Aberto,Pequena,60975,27825,37950,76250,4170,39120,0.0703
96,Capital Fechado,Pequena,67750,27825,12075,128100,13344,5868,0.0172
97,Capital Aberto,Grande,65040,37100,56925,108275,4170,59658,0.0316
98,Capital Fechado,Pequena,67750,35775,41400,128100,23352,19560,0.0521
99,Capital Fechado,Pequena,92140,38425,44850,128100,18348,30318,0.0746
100,Capital Aberto,Pequena,67750,39750,37950,91500,15012,24450,0.0173
